SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,GPSDateTime
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3E56EAF987E24E7A8DAD9C322461B69C.jpg,3E56EAF987E24E7A8DAD9C322461B69C.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4097C2E43E6F4526A65989B1E050E473.jpg,4097C2E43E6F4526A65989B1E050E473.jpg,"32 deg 50' 45.23"" N","96 deg 46' 9.68"" W",193.4 m Above Sea Level,2013:10:11 22:33:01Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/42461CC183CA4AEB878C0584812F6100.jpg,42461CC183CA4AEB878C0584812F6100.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4486AC6408F8433884408E81E23C8E3E.jpg,4486AC6408F8433884408E81E23C8E3E.jpg,"33 deg 1' 10.48"" N","97 deg 3' 18.39"" W",186 m Above Sea Level,2013:11:28 20:44:39Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/454889BFC87A4B5287564EEEA527FA7D.jpg,454889BFC87A4B5287564EEEA527FA7D.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/455EEC922AB746B7ADC3E1022331A482.jpg,455EEC922AB746B7ADC3E1022331A482.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/460F936C916D4D8F80013767146EAEAE.jpg,460F936C916D4D8F80013767146EAEAE.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/465F5A7CAEDA49A6B3DAE98423FFD0CF.jpg,465F5A7CAEDA49A6B3DAE98423FFD0CF.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/473AADE6E1294A67BCC89F07A3956E21.jpg,473AADE6E1294A67BCC89F07A3956E21.jpg,"32 deg 45' 0.26"" N","117 deg 11' 1.18"" W",83.8 m Above Sea Level,2014:05:23 17:56:26Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/47402D2FE20649029C96D8A0E2B955AE.jpg,47402D2FE20649029C96D8A0E2B955AE.jpg,"40 deg 14' 42.00"" N","111 deg 39' 13.80"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/47EC9C5DDAFB4BD3A62486E0C7B8F06C.jpg,47EC9C5DDAFB4BD3A62486E0C7B8F06C.jpg,"32 deg 45' 0.26"" N","117 deg 11' 1.57"" W",85.8 m Above Sea Level,2013:12:23 20:46:48Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/482FD3F29BBC4CE082CC38420DABF8D1.jpg,482FD3F29BBC4CE082CC38420DABF8D1.jpg,,,,
